"Landing page path","Sessions","Pageviews"
"/",294,805
"/collections/all",15,40
"/policies/privacy-policy",9,9
"/pages/contact-us",6,24
"/products/36-stage-upgraded-shower-filter-with-vitamin-c-veoryfly",6,11
"/pages/about-us",4,18
"/products/extra-large-120-inch-frameless-4k-qled-android-smart-tv-built-in-wifi-hdr-gaming-hotel-use-television",3,9
"/collections/womens-clothing-1",3,13
"/password",3,3
"/pages/faq",3,3
"/products/factory-direct-mini-12inch-televisor-square-portable-tvs-led-av-tv-usb-vga-televisions",3,3
"/collections/home-kitchen-1",2,18
"/products/drew-cole-4l-digital-air-fryer-8-in-1-low-oil-cooking",2,2
"/products/new-style-movable-smart-televisions-21-5-inch-android-tv-full-hd-interactive-portable-tv-for-home",2,2
"/collections/amazon-picks",2,2
"/collections/electronics",1,1
"/pages/help-center",1,21
"/pages/become-a-seller",1,1
"/collections/beauty-personal-care-1",1,6
"/policies/terms-of-service",1,1
"/products/anxre-selfie-stick-travel-tripod-remote-black",1,1
"/products/ram-ab-abdominal-exercise-roller-black",1,10
"/products/physioroom-ab-roller-exercise-wheel-auto-return",1,1
"/collections/electronics-1",1,4
"/products/geepas-2-slice-bread-toaster-black",1,1
"/products/woman-clothes-for-women-tops-crop-top-women-aesthetic-trashy-y2k-2000s-aesthetic-womens-blouses-harajuku-shoujo-girl-style-emo",1,3
"/products/19-inch-smart-led-tv-high-definition-android-factory-custom-sizes-hd-resolution-television",1,1
