Category,Seamark Avg Price (£),Amazon Benchmark (£),Price Difference (£),vs Amazon,Difference %
Apparel,29.28,25.0,4.28,MORE EXPENSIVE,17.1
Audio,16.79,40.0,-23.21,CHEAPER,-58.0
Electronics,30.85,55.0,-24.15,CHEAPER,-43.9
Fitness,20.66,35.0,-14.34,CHEAPER,-41.0
Footwear,33.99,45.0,-11.01,CHEAPER,-24.5
Health & Beauty,58.73,22.0,36.73,MORE EXPENSIVE,167.0
Kitchen Appliances,154.62,89.0,65.62,MORE EXPENSIVE,73.7
Other,28.07,30.0,-1.93,CHEAPER,-6.4
Photography,44.49,65.0,-20.51,CHEAPER,-31.6
Smart TV,587.87,399.0,188.87,MORE EXPENSIVE,47.3
