product_name,price_gbp,stock_qty,forecast_units_90_days,forecast_revenue_90_days,stock_risk
"Air Purifier forLarge Room,with WiFi UV,Remove Smoking,Negative Ion HEPA Filter ",225.99,0.0,3,677.97,CRITICAL
50 Inch 1080P Full Color Tube Chip Advertising Naked Eye Television 3d TV Monito,5579.99,0.0,1,5579.99,HIGH
Commercial Slushy Maker Machine Portable 3 Bowl Blender Smoothie Maker with Rota,2716.99,0.0,1,2716.99,HIGH
"65-Inch Outdoor Smart TV | 1000–2500 Nits, 4K, WebOS, WiFi & Dolby Audio",2231.99,0.0,1,2231.99,HIGH
"43–75 Inch Outdoor Waterproof 4K TV | IP55, 1000 Nits, WiFi, Netflix & HDR",1858.99,0.0,1,1858.99,HIGH
"50–85 Inch 4K QLED Smart TV | Google TV, Android, WiFi & Dolby Vision",600.99,0.0,2,1201.98,HIGH
"70-Inch 4K Smart LED TV | WiFi, HDTV & Hotel Use | Android",556.99,0.0,2,1113.98,HIGH
"24-Inch Android 13 Touch Screen Portable TV | Rollable Stand, WiFi, 8000mAh Batt",466.99,0.0,2,933.98,HIGH
"21.5-Inch Movable Android Smart TV | Full HD, 120Hz Touch Screen, Interactive Po",464.99,0.0,2,929.98,HIGH
"55-Inch 4K Ultra HD Android Smart LED TV | HDR, WiFi, HDMI & USB",749.99,0.0,1,749.99,HIGH
"120-Inch 4K QLED Android Smart TV | WiFi, HDR & Gaming Ready",371.99,0.0,2,743.98,HIGH
"32-Inch Portable Smart TV | Touch Screen, Built-in Battery, Rotating Stand | And",732.99,0.0,1,732.99,HIGH
32/50 Inch Smart TV 4K Ultra HD LED  TVs Televisions LED  Inch Flat Display Scre,364.99,0.0,2,729.98,HIGH
"27 & 32-Inch Portable Android 13 Touch Screen TV | Rollable Stand, 10000mAh, WiF",672.99,0.0,1,672.99,HIGH
PM2.5 Mi Hepa Filter Pro H Activated Carbon Filter Pro H for Mi Air Purifier Pro,163.99,0.0,3,491.97,HIGH
Air Purifier for Home Household Air Purifier Cleaner with Aromatherapy Ions Gene,121.99,0.0,4,487.96,HIGH
"32-Inch Smart FHD LED TV | 1080P, Android, WiFi, HDMI & DVB-T2 |  Model",121.99,0.0,4,487.96,HIGH
Air Purifier for Home Allergies Pets Hair in Bedroom H13 True HEPA Filter 25dB F,120.99,0.0,4,483.96,HIGH
User Friendly Portable HEPA Air Purifier with Negative Ion - Quiet for Bedrooms ,103.99,0.0,4,415.96,HIGH
Women's Hooded Down Cotton Jacket with Belt — Warm Windproof Commuter Coat,103.99,0.0,4,415.96,HIGH
Good Price Smart Television 20 1280x1024 Inch LED TV,102.99,0.0,4,411.96,HIGH
NEW LED Red Light Therapy Full Body Infrared Lamp for Facial Light Treatment Ant,136.99,0.0,3,410.97,HIGH
User Friendly Portable HEPA Air Purifier - Quiet Operation for Bedrooms & Small ,98.99,0.0,4,395.96,HIGH
Women Clothing Wholesale Summer Ladies Fashion Dresses High Quality Stretch Slee,95.99,0.0,4,383.96,HIGH
Air Purifier Smoke Odor Negative Ion Generator with Aromatherapy Air Cleaner for,92.99,0.0,4,371.96,HIGH
"12-Inch Portable Mini TV | LED Display, AV, USB & VGA Inputs",122.99,0.0,3,368.97,HIGH
Women's Embroidery V-Neck Long Sleeve Top — Elegant Loose Office Blouse,71.99,0.0,5,359.95,HIGH
LED Red Light Therapy Panel Lamp for Facial Anti Aging Skin Care Beauty 225pcs L,70.99,0.0,5,354.95,HIGH
Red Light Therapy Eye Mask Rechargeable Anti Aging Wrinkle Reduction Treatment E,69.99,0.0,5,349.95,HIGH
Air Purifier H13 Hepa Filter 545*298*19mm for 3M Filtrete FAP03 Filter PM2.5 Odo,69.99,0.0,5,349.95,HIGH
"B89B-Portable Blender, Cordless USB Rechargeable Mini Smoothie Maker Multi-Funct",68.99,0.0,5,344.95,HIGH
Smart LED Face Masks Programmable Bluetooth APP Control Change Face DIY Photoes ,85.99,0.0,4,343.96,HIGH
4 in 1 with Neck Led Light Therapy Infrared Flexible Soft Mask Silicone 4 Color ,83.99,0.0,4,335.96,HIGH
Blender Kitchen Chopper Portable Stationary Blender For Smoothies Mixer Machine ,64.99,0.0,5,324.95,HIGH
"Cordless Car Vacuum Cleaner Handheld, High Power Wet Dry Portable Vacuum Blower ",79.99,0.0,4,319.96,HIGH
Women's Knitted Splicing Down Cotton Coat — Warm Versatile Short Winter Jacket,63.99,0.0,5,319.95,HIGH
"Air Purifier for Large Family Rooms, H13 HEPA Filter 25dB Quiet Filtration Syste",63.99,0.0,5,319.95,HIGH
H12 HEPA Air Purifier PM2.5 Smoke aromath Air Fresher Usb Air Circulator Electri,63.99,0.0,5,319.95,HIGH
LED Red Light Therapy Panel Lamp for Facial Anti Aging Skin Care Beauty 225 LED ,60.99,0.0,5,304.95,HIGH
LED red panel light facial anti-aging skin care beauty 144 LED light body physio,75.99,0.0,4,303.96,HIGH
Women's Pleated Lace-up Hip Wrap Dress Set — High Quality Temperament Fashion,75.99,0.0,4,303.96,HIGH
"OEM Smart LED TV | 19 to 85 Inch | Android, Full HD, Custom Logo & Sizes",74.99,0.0,4,299.96,HIGH
Women's Clothing New  Style Dress,74.99,0.0,4,299.96,HIGH
LED Mask with Gesture Sensing for Halloween Party Festival Performance Kids Lumi,59.99,0.0,5,299.95,HIGH
Air Purifier HEPA Filter Negative Ion Automatic Formaldehyde PM2.5 Air Eliminato,58.99,0.0,5,294.95,HIGH
Women's Casual Fashion Dress — Elegant Everyday Style,57.99,0.0,5,289.95,HIGH
Women Evening Dresses Sexy Elegant Red Cocktail Party Chic Gala Graduation Luxur,57.99,0.0,5,289.95,HIGH
