order_id,sale_date,product_name,price
SMK-001,28/07/2026,Men Sport T-shirt Quick Dry Bodybuilding,11.99
SMK-002,28/07/2026,Women's Clothing Autumn New Style Elegant,16.99
SMK-003,28/07/2026,Red Light Therapy Eye Mask Rechargeable,14.99
SMK-004,28/07/2026,Smart LED Strip Lights with Adhesive,16.99
SMK-005,29/07/2026,100% Cotton Breathable Short Sleeve T-Shirt,12.99
SMK-006,01/08/2026,100% Cotton Breathable Short Sleeve T-Shirt,12.99
SMK-007,01/08/2026,Medieval Hooded Woollen Cloak Elf Halloween,17.99
SMK-008,01/08/2026,LED Beauty Light Red Blue Light Device,15.99
SMK-009,01/08/2026,Underwear Dress Women Striped Perspective,7.99
SMK-010,01/08/2026,Red And Black Plaid Shirt Men Shirts,12.99
SMK-011,01/08/2026,Women's Clothing Autumn New Style Elegant,16.99
SMK-012,04/08/2026,Mens Bodybuilding Sports Tight T-Shirt,14.99
SMK-013,04/08/2026,Hawaii Shirts for Men 3D Paisley Graphic,14.99
SMK-014,04/08/2026,LED Red Light Therapy Panel Lamp,19.99
SMK-015,04/08/2026,Women's Clothing 2025 Spring And Summer,15.99
SMK-016,04/08/2026,Smart LED Strip Lights Music Sync RGB,16.99
SMK-017,06/08/2026,Car Cordless Vacuum Cleaner Portable,11.99
SMK-018,06/08/2026,Women's High-Neck Colour Block Graffiti,18.99
SMK-019,08/08/2026,Led Lights for Room Music Sync RGB,19.99
SMK-020,08/08/2026,Hawaii Shirts for Men 3D Paisley Graphic,14.99
SMK-021,08/08/2026,Led Lights for Room Music Sync RGB,19.99
SMK-022,08/08/2026,Ladies Dress Autumn Women Hooded Dress,17.99
SMK-023,08/08/2026,Car Cordless Vacuum Cleaner Portable,11.99
SMK-024,08/08/2026,New Portable Juice Maker Blender,19.99
SMK-025,08/08/2026,Portable Blender Bottle Electric 6 Blades,19.99
SMK-026,08/08/2026,Portable Blender Bottle Electric 6 Blades,19.99
SMK-027,08/08/2026,2Pcs HEPA Replacement Filter Activated,7.99
SMK-028,08/08/2026,Smart LED Strip Lights with Adhesive,16.99
SMK-029,08/08/2026,2-Pack Air Purifier Replacement Filter,12.99
SMK-030,08/08/2026,Autumn Men Wide Loose Casual Pants,16.99
